group_id,timeslot_id,day,period,subject_id,teacher_id,room_id
662090101,32,Wed,8,20000-2005,T03,R6403
662090101,33,Wed,9,20000-2005,T03,R6403
672190102,32,Wed,8,20000-2007,T18,R6301
672190102,33,Wed,9,20000-2007,T18,R6301
673190101,32,Wed,8,20000-2002,T05,R6404
673190101,33,Wed,9,20000-2002,T05,R6404
682190101,32,Wed,8,30000-2004,T07,R6203
682190101,33,Wed,9,30000-2004,T07,R6203
682190102,32,Wed,8,30000-2004,T08,R6302
682190102,33,Wed,9,30000-2004,T08,R6302
683190101,32,Wed,8,30000-2002,T01,R6402
683190101,33,Wed,9,30000-2002,T01,R6402
683190102,32,Wed,8,30000-2002,T04,R6405
683190102,33,Wed,9,30000-2002,T04,R6405
683190103,32,Wed,8,30000-2002,T13,R6201
683190103,33,Wed,9,30000-2002,T13,R6201
662090101,1,Mon,1,21900-1005,T13,R5403
662090101,2,Mon,2,21900-1005,T13,R6403
662090101,3,Mon,3,21900-1005,T13,R6403
662090101,4,Mon,4,21901-2001,T18,R5403
662090101,6,Mon,6,21901-2001,T18,R6403
662090101,7,Mon,7,21901-2001,T18,R6403
662090101,8,Mon,8,21901-2008,T13,R5403
662090101,9,Mon,9,21901-2008,T13,R6403
662090101,10,Mon,10,21901-2008,T13,R6403
662090101,13,Tue,1,21901-2009,T04,R5403
662090101,18,Tue,6,21901-2009,T04,R6403
662090101,19,Tue,7,21901-2009,T04,R6403
662090101,20,Tue,8,21901-2009,T04,R6403
662090101,21,Tue,9,21901-2009,T04,R6403
662090101,14,Tue,2,21901-2013,T07,R5403
662090101,15,Tue,3,21901-2013,T07,R6403
662090101,16,Tue,4,21901-2013,T07,R6403
662090101,25,Wed,1,21906-2006,T03,R5403
662090101,37,Thu,1,21906-2006,T03,R6403
662090101,38,Thu,2,21906-2006,T03,R6403
662090101,39,Thu,3,21906-2006,T03,R6403
662090101,40,Thu,4,21906-2006,T03,R6403
662090101,26,Wed,2,20001-1002,T24,R5403
662090101,27,Wed,3,20001-1002,T24,R6403
662090101,28,Wed,4,20001-1002,T24,R6403
662090101,30,Wed,6,20001-1004,T12,R5403
662090101,31,Wed,7,HOMEROOM,T18,R_HOME
662090103,4,Mon,4,21900-1005,T13,R5301
662090103,6,Mon,6,21900-1005,T13,R6301
662090103,7,Mon,7,21900-1005,T13,R6301
662090103,1,Mon,1,21901-2001,T18,R5301
662090103,2,Mon,2,21901-2001,T18,R6301
662090103,3,Mon,3,21901-2001,T18,R6301
662090103,13,Tue,1,21901-2008,T13,R5301
662090103,14,Tue,2,21901-2008,T13,R6301
662090103,15,Tue,3,21901-2008,T13,R6301
662090103,8,Mon,8,21901-2009,T04,R5301
662090103,25,Wed,1,21901-2009,T04,R6301
662090103,26,Wed,2,21901-2009,T04,R6301
662090103,27,Wed,3,21901-2009,T04,R6301
662090103,28,Wed,4,21901-2009,T04,R6301
662090103,9,Mon,9,21901-2013,T07,R5403
662090103,18,Tue,6,21901-2013,T07,R6301
662090103,19,Tue,7,21901-2013,T07,R6301
662090103,16,Tue,4,21906-2006,T03,R5403
662090103,42,Thu,6,21906-2006,T03,R6403
