group_id,timeslot_id,subject_id,teacher_id,room_id
G1,1,30000-1501,T02,R5201
G1,2,30000-1501,T02,R5201
G1,6,30001-1001,T09,R6201
G1,7,30001-1001,T09,R6201
G1,8,31901-2013,T08,R6405
G1,10,31901-2002,T01,R6404
G1,13,30000-1501,T02,R6301
G1,14,31901-2006,T03,R6302
G1,15,31901-2010,T04,R6301
G1,18,31901-2017,T07,R5204
G1,19,31901-2017,T07,R5204
G1,20,31901-2017,T07,R5204
G1,21,31901-2017,T07,R5204
G1,22,31901-2017,T07,R5204
G1,23,31901-2017,T07,R5204
G1,25,31901-2002,T01,R6302
G1,26,31901-2002,T01,R6302
G1,27,31901-2002,T01,R6302
G1,28,31901-2002,T01,R6302
G1,30,31901-2013,T08,R6204
G1,31,31901-2013,T08,R6204
G1,32,31901-2013,T08,R6204
G1,33,31901-2013,T08,R6204
G1,34,30000-2004,T07,R??????
G1,35,30000-2004,T07,R??????
G1,37,31901-2006,T03,R6302
G1,38,31901-2006,T03,R6302
G1,39,31901-2006,T03,R6302
G1,40,31901-2006,T03,R6302
G1,42,31901-2010,T04,R10401
G1,43,31901-2010,T04,R10401
G1,44,31901-2010,T04,R10401
G1,45,31901-2010,T04,R10401
G1,46,31901-2009,T04,R6403
G1,49,31901-2009,T04,R6301
G1,50,31901-2009,T04,R6301
G1,51,31901-2009,T04,R6301
G1,52,31901-2009,T04,R6301
G1,54,30000-1202,T06,R6404
G1,55,30000-1202,T06,R6404
G1,56,30001-1001,T09,R5306
G1,57,30001-1001,T09,R5306
G2,1,31901-2002,T01,R5203
G2,2,31901-2002,T01,R5203
G2,3,31901-2002,T01,R5203
G2,4,31901-2002,T01,R5203
G2,6,31901-2017,T07,R5406
G2,7,31901-2017,T07,R5406
G2,8,31901-2017,T07,R5406
G2,9,31901-2017,T07,R5406
G2,10,31901-2017,T07,R5406
G2,11,31901-2017,T07,R5406
G2,13,31901-2013,T08,R5204
G2,14,31901-2013,T08,R5204
G2,15,31901-2013,T08,R5204
G2,16,31901-2013,T08,R5204
G2,18,30000-1202,T06,R6205
G2,19,30000-1202,T06,R6205
G2,20,30000-2004,T08,R6205
G2,21,30000-2004,T08,R6205
G2,22,30000-1501,T02,R5101
G2,25,31901-2006,T03,R5401
G2,26,31901-2006,T03,R5401
G2,27,31901-2006,T03,R5401
G2,28,31901-2006,T03,R5401
G2,30,30001-1001,T09,R5101
G2,31,30001-1001,T09,R5101
